Ward,Road_Type,No_of_vehicles_involved,Time_Range,Month_Num,Nepali_Season,Weather_Clear,Weather_Cold,Weather_Cool,Weather_Dry,Weather_Dusty,Weather_Foggy,Weather_Frosty,Weather_Hot,Weather_Humid,Weather_Mild,Weather_Overcast,Weather_Pleasant,Weather_Rainy,Weather_Thunderstorm,Weather_Warm,Weather_Windy,Severity,Ward_Location_Risk
4,0,2,1,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.03508771929824561
12,0,2,1,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.007675438596491228
4,0,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.006578947368421052
18,1,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.019736842105263157
19,1,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.017543859649122806
7,1,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0021929824561403508
8,1,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701754
1,1,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701754
4,1,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.003289473684210526
9,0,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.003289473684210526
15,1,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.006578947368421052
16,1,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.023026315789473683
3,0,2,0,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.006578947368421052
5,0,2,1,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701754
13,1,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.07346491228070176
12,1,2,0,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.008771929824561403
4,0,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.013157894736842105
4,0,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.009868421052631578
1,1,2,1,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701754
19,1,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.017543859649122806
4,0,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.013157894736842105
15,1,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.044956140350877194
19,1,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.017543859649122806
18,1,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.019736842105263157
3,1,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.02631578947368421
4,1,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.03508771929824561
5,1,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701754
9,1,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.003289473684210526
14,0,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.08442982456140351
14,0,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.08442982456140351
10,0,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0021929824561403508
5,0,1,0,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.003289473684210526
14,1,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.08442982456140351
4,0,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.03508771929824561
10,1,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701754
4,0,2,1,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.03508771929824561
15,1,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.006578947368421052
3,0,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0021929824561403508
3,0,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.02631578947368421
3,0,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0043859649122807015
15,0,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701754
4,0,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.013157894736842105
3,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.003289473684210526
5,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701754
6,1,1,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0021929824561403508
4,1,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0010964912280701754
18,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0043859649122807015
14,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.08442982456140351
13,0,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.07346491228070176
6,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0021929824561403508
18,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.019736842105263157
9,0,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.003289473684210526
12,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701754
12,0,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.008771929824561403
12,1,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.008771929824561403
18,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.019736842105263157
14,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.08442982456140351
13,0,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701754
14,0,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.003289473684210526
13,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.07346491228070176
11,0,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701754
15,0,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.006578947368421052
13,1,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.07346491228070176
12,0,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.007675438596491228
13,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.07346491228070176
2,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701754
2,1,3,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.005482456140350877
13,0,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.07346491228070176
3,0,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.02631578947368421
