Date,Month,Ward,Location,Road_Type,No_of_vehicles_involved,Minor_Injury,Severe_Injury,Fatal/Death,Time_Range,Cause,Month_Num,Nepali_Season,Season,Weather_Clear,Weather_Cold,Weather_Cool,Weather_Dry,Weather_Dusty,Weather_Foggy,Weather_Frosty,Weather_Hot,Weather_Humid,Weather_Mild,Weather_Overcast,Weather_Pleasant,Weather_Rainy,Weather_Thunderstorm,Weather_Warm,Weather_Windy,Severity,Total_Injuries,Casualties
2081-04-02 00:00:00,Shrawan,4,oil nigam,highway,2,1,0,0,06:00-12:00,speeding,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,low,1,1
2081-04-02 00:00:00,Shrawan,12,roadcess chowk,highway,2,4,0,0,06:00-12:00,speeding,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,low,4,4
2081-04-02 00:00:00,Shrawan,4,rajbanshi chowk,highway,2,0,1,0,12:00-18:00,driver's fault,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,medium,1,1
2081-04-02 00:00:00,Shrawan,13,rani,inner paved road,1,29,0,1,12:00-18:00,pedestrian’s fault,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,high,29,30
2081-04-03 00:00:00,Shrawan,18,rani,inner paved road,1,1,0,0,18:00-00:00,drunk and drive,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,low,1,1
2081-04-05 00:00:00,Shrawan,19,pushpalal chowk,inner paved road,2,1,0,0,12:00-18:00,pedestrian’s fault,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,low,1,1
2081-04-05 00:00:00,Shrawan,7,danphe chowk,inner paved road,1,2,0,0,18:00-00:00,speeding,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,low,2,2
2081-04-06 00:00:00,Shrawan,8,bishwakarma chowk,inner paved road,1,0,0,0,12:00-18:00,speeding,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,low,0,0
2081-04-06 00:00:00,Shrawan,1,neta chowk,inner paved road,1,1,0,0,18:00-00:00,weather condition,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,low,1,1
2081-04-07 00:00:00,Shrawan,4,ikrahi,inner paved road,1,1,0,0,12:00-18:00,speeding,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,low,1,1
2081-04-09 00:00:00,Shrawan,9,bus park,highway,2,1,1,0,18:00-00:00,traffic rule violation,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,medium,2,2
2081-04-09 00:00:00,Shrawan,15,bhatta chowk,inner paved road,1,1,0,0,18:00-00:00,drunk and drive,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,low,1,1
2081-04-09 00:00:00,Shrawan,16,rani,inner paved road,1,1,0,0,18:00-00:00,speeding,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,low,1,1
2081-04-10 00:00:00,Shrawan,3,kanchanbari,highway,2,1,0,0,00:00-06:00,speeding,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,low,1,1
2081-04-11 00:00:00,Shrawan,5,bargachhi,highway,2,1,0,0,06:00-12:00,speeding,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,low,1,1
2081-04-12 00:00:00,Shrawan,13,rani,inner paved road,2,3,0,0,18:00-00:00,speeding,4,Barkha,Summer,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,low,3,3
