Ward,Road_Type,No_of_vehicles_involved,Time_Range,Month_Num,Nepali_Season,Weather_Clear,Weather_Cold,Weather_Cool,Weather_Dry,Weather_Dusty,Weather_Foggy,Weather_Frosty,Weather_Hot,Weather_Humid,Weather_Mild,Weather_Overcast,Weather_Pleasant,Weather_Rainy,Weather_Thunderstorm,Weather_Warm,Weather_Windy,Severity,Ward_Location_Risk
4,0,2,1,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0350877192982456
12,0,2,1,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0076754385964912
4,0,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.006578947368421
18,1,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0197368421052631
19,1,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0175438596491228
7,1,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0021929824561403
8,1,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701
1,1,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701
4,1,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0032894736842105
9,0,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0032894736842105
15,1,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.006578947368421
16,1,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0230263157894736
3,0,2,0,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.006578947368421
5,0,2,1,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701
13,1,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0734649122807017
12,1,2,0,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0087719298245614
4,0,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0131578947368421
4,0,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0098684210526315
1,1,2,1,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701
19,1,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0175438596491228
4,0,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0131578947368421
